registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110031019975,ANCHORAGE SAND AND GRAVEL KLATT RD FACILITY,11155 LANG ST,ANCHORAGE,AK,99515,ANCHORAGE,10.0,61.120796,-149.874372,327331
110000747764,OMNISOURCE- BESSEMER PLANT 5,5501 VULCAN RD SE,BESSEMER,AL,35022,JEFFERSON,4.0,33.34643,-86.96828,327331
110000588980,USB ALABAMA LLC,8250 HOPEWELL ROAD SE,BESSEMER,AL,35022,JEFFERSON,4.0,33.346844,-86.954677,327331
110012625748,"SHERMAN INDUSTRIES,INC.",3017 35TH STREET NORTH,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.554309,-86.793562,327331
110070049613,BLAIR BLOCK LLC,3017 35TH STREET NORTH ST,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.55328,-86.79609,327331
110001714388,SUPEROCK BLOCK CO INC,3301 27TH AVENUE NORTH,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.549553,-86.799857,327331
110040937118,"KIRKPATRICK CONCRETE,INC. PLANT 13",1121 BROOKSIDE COALING RD,BIRMINGHAM,AL,35205,JEFFERSON,4.0,33.62846,-86.86749,327331
110055479129,BLAIR BLOCK LLC (CHILDERSBURG),"165 FIRST ROAD, COOSA INDUSTRIAL PARK",CHILDERSBURG,AL,35044,TALLADEGA,4.0,33.353056,-86.327778,327331
110070838348,"THE SHADDIX COMPANY, INC.",207 PARK DRIVE,CULLMAN,AL,35058,CULLMAN,4.0,34.230438,-86.867321,327331
110043993060,CULLMAN PLANT,9415 HWY 157,CULLMAN,AL,35057,CULLMAN,4.0,34.236623,-86.930995,327331
110010107954,"DORIC SOUTH, INC",1410 WEST JACKSON STREET,DEMOPOLIS,AL,36732,MARENGO,4.0,32.51125,-87.85527,327331
110000865163,PEMCO,100 PEMCO DRIVE,DOTHAN,AL,36303,HOUSTON,4.0,31.317595,-85.460254,327331
110070250614,"FIREROCK PRODUCTS, LLC",3620 AVENUE C,FAIRFIELD,AL,35064,JEFFERSON,4.0,33.49974,-86.910387,327331
110010107785,FLORENCE BLOCK PLANT - 5424,1506 VETERANS DR,FLORENCE,AL,35630,LAUDERDALE,4.0,34.802124,-87.655044,327331
110070101932,BLOCK USA ALABAMA FLORENCE PLANT,1506 VETERANS DRIVE,FLORENCE,AL,35630,,4.0,34.802124,-87.655044,327331
110010107909,READY MIX USA LLC- JASPER BLOCK PLANT,2620 WHITEHOUSE RD,JASPER,AL,35501,WALKER,4.0,33.825595,-87.258128,327331
110041597279,JENKINS BRICK COMPANY,4110 US HWY 78,LEEDS,AL,35094,JEFFERSON,4.0,33.574157,-86.478514,327331
110006652050,SEQUATCHIE CONCRETE SERVICE INC,656 PALMER ROAD,MADISON,AL,35758,MADISON,4.0,34.692318,-86.779477,327331
110006548806,"SMYRNA READY MIX CONCRETE, LLC",250 PALMER RD,MADISON,AL,35758,MADISON,4.0,34.691481,-86.763245,327331
110001714574,JENKINS BRICK COMPANY,1228 N MCDONOUGH ST,MONTGOMERY,AL,36104,MONTGOMERY,4.0,32.39468,-86.30564,327331
110071956656,GEORGIA MASONRY SUPPLY MONTGOMERY,1695 PARALLEL ST,MONTGOMERY,AL,36104,MONTGOMERY COUNTY,4.0,32.40809,-86.32311,327331
110010106875,BUILDERS SUPPLY COMPANY,10442 HIGHWAY 80 EAST,MONTGOMERY,AL,36117,MONTGOMERY,4.0,32.3678,-86.12141,327331
110070258419,WIREGRASS BLOCK & PRECAST,16100 W. US HWY 84,NEWTON,AL,36352,HOUSTON,4.0,31.251493,-85.653196,327331
110006792364,BAMA CONCRETE BIRMINGHAM INC,3166 LEE STREET,PELHAM,AL,35124,SHELBY,4.0,33.28832,-86.81446,327331
110006548600,SHERMAN INDUSTRIES INC N CENTRAL AL DIV,710 INDUSTRIAL PARK DRIVE,PELHAM,AL,35124,SHELBY,4.0,33.297237,-86.821218,327331
110022811340,HANSON PIPE & PRODUCTS SOUTHEAST INC PELHAM,400 INDUSTRIAL PARK DR,PELHAM,AL,35124,SHELBY,4.0,33.29705,-86.81973,327331
110022821678,SHERMAN INDUSTRIES INC N CENTRAL AL DIV,246 STEELE STATION ROAD,RAINBOW CITY,AL,35906,ETOWAH,4.0,33.98386,-86.04468,327331
110025356433,"HENRY BRICK COMPANY, INC.",3409 WATER AVENUE,SELMA,AL,36703,DALLAS,4.0,32.41244,-86.9943,327331
110006652149,HOLBROOK READY MIX INC.,4316 COUNTY ROAD 77,SELMA,AL,36701,DALLAS,4.0,32.375974,-87.037178,327331
